Title,Title20,Title29,ISSN,EISSN,Category name
INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING INFORMATION AND CONTROL,INT J INNOV COMPUT I,INT J INNOV COMPUT INF CONTRO,1349-4198,1349-418X,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF INTEGRATED CARE,INT J INTEGR CARE,INT J INTEGR CARE,1568-4156,1568-4156,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,INT J INTELL SYST,0884-8173,1098-111X,ENGINEERING
INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE,INT J INTERACT MULTI,INT J INTERACT MULTIMED ARTIF,1989-1660,1989-1660,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,INT J INTERCULT REL,INT J INTERCULT RELAT,0147-1767,1873-7552,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND MANAGEMENT,INT J ISLAMIC MIDDLE,INT J ISLAMIC MIDDLE EAST FI,1753-8394,1753-8408,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF LABORATORY HEMATOLOGY,INT J LAB HEMATOL,INT J LAB HEMATOL,1751-5521,1751-553X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,INT J LANG COMMUN DISORD,1368-2822,1460-6984,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,INT J LAW PSYCHIAT,INT J LAW PSYCHIATRY,0160-2527,1873-6386,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF LAW CRIME AND JUSTICE,INT J LAW CRIME JUST,INT J LAW CRIME JUSTICE,1756-0616,1876-763X,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF LAW IN CONTEXT,INT J LAW CONTEXT,INT J LAW CONTEXT,1744-5523,1744-5531,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF LAW POLICY AND THE FAMILY,INT J LAW POLICY FAM,INT J LAW POLICY FAM,1360-9939,1464-3707,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF LEAN SIX SIGMA,INT J LEAN SIX SIG,INT J LEAN SIX SIGMA,2040-4166,2040-4174,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,INT J LEGAL MED,INT J LEGAL MED,0937-9827,1437-1596,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,INT J LEXICOGR,INT J LEXICOGR,0950-3846,1477-4577,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,INT J LIFE CYCLE ASS,INT J LIFE CYCLE ASSESS,0948-3349,1614-7502,ENGINEERING
INTERNATIONAL JOURNAL OF LIMNOLOGY,INT J LIMNOL,INT J LIMNOL,,2823-1465,ENVIRONMENT/ECOLOGY
INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT,INT J LOGIST MANAG,INT J LOGIST MANAG,0957-4093,1758-6550,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF LOGISTICS-RESEARCH AND APPLICATIONS,INT J LOGIST-RES APP,INT J LOGIST-RES APPL,1367-5567,1469-848X,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF LOW-CARBON TECHNOLOGIES,INT J LOW-CARBON TEC,INT J LOW-CARBON TECHNOL,1748-1317,1748-1325,ENGINEERING
INTERNATIONAL JOURNAL OF LOWER EXTREMITY WOUNDS,INT J LOW EXTR WOUND,INT J LOW EXTREM WOUNDS,1534-7346,1552-6941,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,INT J MACH LEARN CYB,INT J MACH LEARN CYBERN,1868-8071,1868-808X,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,INT J MACH TOOL MANU,INT J MACH TOOL MANUF,0890-6955,1879-2170,ENGINEERING
INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION,INT J MANAG EDUC-OXF,INT J MANAG EDUC,1472-8117,2352-3565,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,INT J MANAG REV,INT J MANAG REV,1460-8545,1468-2370,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS,INT J MANAG PROJ BUS,INT J MANAG PROJ BUS,1753-8378,1753-8386,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF MANPOWER,INT J MANPOWER,INT J MANPOWER,0143-7720,1758-6577,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF MARINE AND COASTAL LAW,INT J MAR COAST LAW,INT J MAR COAST LAW,0927-3522,1571-8085,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF MARITIME ENGINEERING,INT J MARIT ENG,INT J MARIT ENG,1479-8751,1740-0716,ENGINEERING
INTERNATIONAL JOURNAL OF MARKET RESEARCH,INT J MARKET RES,INT J MARKET RES,1470-7853,2515-2173,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,INT J MASS SPECTROM,INT J MASS SPECTROM,1387-3806,1873-2798,CHEMISTRY
INTERNATIONAL JOURNAL OF MATERIAL FORMING,INT J MATER FORM,INT J MATER FORM,1960-6206,1960-6214,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,INT J MATER PROD TEC,INT J MATER PROD TECHNOL,0268-1900,1741-5209,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF MATERIALS RESEARCH,INT J MATER RES,INT J MATER RES,1862-5282,2195-8556,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF MATHEMATICS,INT J MATH,INT J MATH,0129-167X,1793-6519,MATHEMATICS
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,INT J MECH SCI,INT J MECH SCI,0020-7403,1879-2162,ENGINEERING
INTERNATIONAL JOURNAL OF MECHANICS AND MATERIALS IN DESIGN,INT J MECH MATER DES,INT J MECH MATER DES,1569-1713,1573-8841,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,INT J MED INFORM,1386-5056,1872-8243,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,INT J MED MICROBIOL,INT J MED MICROBIOL,1438-4221,1618-0607,MICROBIOLOGY
INTERNATIONAL JOURNAL OF MEDICAL ROBOTICS AND COMPUTER ASSISTED SURGERY,INT J MED ROBOT COMP,INT J MED ROBOT COMPUT ASSIST,1478-5951,1478-596X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF MEDICAL SCIENCES,INT J MED SCI,INT J MED SCI,1449-1907,1449-1907,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF MEDICINAL MUSHROOMS,INT J MED MUSHROOMS,INT J MED MUSHROOMS,1521-9437,1940-4344,PHARMACOLOGY & TOXICOLOGY
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,INT J MENT HEALTH AD,INT J MENT HEALTH ADDICT,1557-1874,1557-1882,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF MENTAL HEALTH NURSING,INT J MENT HEALTH NU,INT J MENT HEALTH NURS,1445-8330,1447-0349,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF MENTAL HEALTH PROMOTION,INT J MENT HEALTH PR,INT J MENT HEALTH PROMOT,1462-3730,2049-8543,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF MENTAL HEALTH SYSTEMS,INT J MENT HEALTH SY,INT J MENT HEALTH SYST,1752-4458,1752-4458,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF METALCASTING,INT J METALCAST,INT J MET,1939-5981,2163-3193,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,INT J METH PSYCH RES,INT J METH PSYCHIATR RES,1049-8931,1557-0657,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF MICRO AIR VEHICLES,INT J MICRO AIR VEH,INT J MICRO AIR VEH,1756-8293,1756-8307,ENGINEERING
INTERNATIONAL JOURNAL OF MICROWAVE AND WIRELESS TECHNOLOGIES,INT J MICROW WIREL T,INT J MICROW WIREL TECHNOL,1759-0787,1759-0795,ENGINEERING
INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,INT J MIDDLE E STUD,INT J MIDDLE EAST STUD,0020-7438,1471-6380,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF MINERAL PROCESSING,INT J MINER PROCESS,INT J MINER PROCESS,0301-7516,1879-3525,GEOSCIENCES
INTERNATIONAL JOURNAL OF MINERALS METALLURGY AND MATERIALS,INT J MIN MET MATER,INT J MINER METALL MATER,1674-4799,1869-103X,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT,INT J MIN RECLAM ENV,INT J MIN RECLAM ENVIRON,1748-0930,1748-0949,ENVIRONMENT/ECOLOGY
INTERNATIONAL JOURNAL OF MINING SCIENCE AND TECHNOLOGY,INT J MIN SCI TECHNO,INT J MIN SCI TECHNOL,2095-2686,2212-6066,GEOSCIENCES
INTERNATIONAL JOURNAL OF MOBILE COMMUNICATIONS,INT J MOB COMMUN,INT J MOB COMMUN,1470-949X,1741-5217,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,INT J MOD PHYS A,INT J MOD PHYS A,0217-751X,1793-656X,PHYSICS
INTERNATIONAL JOURNAL OF MODERN PHYSICS B,INT J MOD PHYS B,INT J MOD PHYS B,0217-9792,1793-6578,PHYSICS
INTERNATIONAL JOURNAL OF MODERN PHYSICS C,INT J MOD PHYS C,INT J MOD PHYS C,0129-1831,1793-6586,PHYSICS
INTERNATIONAL JOURNAL OF MODERN PHYSICS D,INT J MOD PHYS D,INT J MOD PHYS D,0218-2718,1793-6594,SPACE SCIENCE
INTERNATIONAL JOURNAL OF MODERN PHYSICS E,INT J MOD PHYS E,INT J MOD PHYS E,0218-3013,1793-6608,PHYSICS
INTERNATIONAL JOURNAL OF MODERN PHYSICS E-NUCLEAR PHYSICS,,,,,PHYSICS
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,INT J MOL MED,INT J MOL MED,1107-3756,1791-244X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,INT J MOL SCI,****-****,1422-0067,CHEMISTRY
INTERNATIONAL JOURNAL OF MORPHOLOGY,INT J MORPHOL,INT J MORPHOL,0717-9502,0717-9367,BIOLOGY & BIOCHEMISTRY
INTERNATIONAL JOURNAL OF MULTILINGUALISM,INT J MULTILING,INT J MULTILING,1479-0718,1747-7530,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF MULTIMEDIA INFORMATION RETRIEVAL,INT J MULTIMED INF R,INT J MULTIMED INF RETR,2192-6611,2192-662X,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,INT J MULTIPHAS FLOW,INT J MULTIPHASE FLOW,0301-9322,1879-3533,ENGINEERING
INTERNATIONAL JOURNAL OF MUSIC EDUCATION,INT J MUSIC EDUC,INT J MUSIC EDUC,0255-7614,1744-795X,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF NANOMEDICINE,INT J NANOMED,INT J NANOMED,1178-2013,1178-2013,PHARMACOLOGY & TOXICOLOGY
INTERNATIONAL JOURNAL OF NANOTECHNOLOGY,INT J NANOTECHNOL,INT J NANOTECHNOL,1475-7435,1741-8151,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF NAVAL ARCHITECTURE AND OCEAN ENGINEERING,INT J NAV ARCH OCEAN,INT J NAV ARCHIT OCEAN ENG,2092-6782,2092-6790,ENGINEERING
INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,INT J NETW MANAG,INT J NETW MANAG,1055-7148,1099-1190,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,INT J NEURAL SYST,INT J NEURAL SYST,0129-0657,1793-6462,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,INT J NEUROPSYCHOPH,INT J NEUROPSYCHOPHARMACOL,1461-1457,1469-5111,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF NEUROSCIENCE,INT J NEUROSCI,INT J NEUROSCI,0020-7454,1563-5279,NEUROSCIENCE & BEHAVIOR
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,INT J NONLIN MECH,INT J NON-LINEAR MECH,0020-7462,1878-5638,ENGINEERING
INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,INT J NONLIN SCI NUM,INT J NONLINEAR SCI NUMER SIM,1565-1339,2191-0294,ENGINEERING
INTERNATIONAL JOURNAL OF NUMBER THEORY,INT J NUMBER THEORY,INT J NUMBER THEORY,1793-0421,1793-7310,MATHEMATICS
INTERNATIONAL JOURNAL OF NUMERICAL ANALYSIS AND MODELING,INT J NUMER ANAL MOD,INT J NUMER ANAL MODEL,1705-5105,1705-5105,MATHEMATICS
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,INT J NUMER METHOD H,INT J NUMER METHOD HEAT FL F,0961-5539,1758-6585,ENGINEERING
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,INT J NUMER MODEL EL,INT J NUMER MODEL ELECTRON N,0894-3370,1099-1204,ENGINEERING
INTERNATIONAL JOURNAL OF NURSING KNOWLEDGE,INT J NURS KNOWL,INT J NURS KNOWL,2047-3087,2047-3095,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF NURSING PRACTICE,INT J NURS PRACT,INT J NURS PRACT,1322-7114,1440-172X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF NURSING STUDIES,INT J NURS STUD,INT J NURS STUD,0020-7489,1873-491X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF OBESITY,INT J OBESITY,INT J OBESITY,0307-0565,1476-5497,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,INT J OBSTET ANESTH,0959-289X,1532-3374,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,INT J OCCUP ENV HEAL,INT J OCCUP ENVIRON HEALTH,1077-3525,2049-3967,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF OCCUPATIONAL MEDICINE AND ENVIRONMENTAL HEALTH,INT J OCCUP MED ENV,INT J OCCUP MED ENVIRON HEALT,1232-1087,1896-494X,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS,INT J OCCUP SAF ERGO,INT J OCCUP SAF ERGON,1080-3548,2376-9130,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF ODONATOLOGY,INT J ODONATOL,INT J ODONATOL,1388-7890,2159-6719,PLANT & ANIMAL SCIENCE
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,INT J OFFENDER THER,INT J OFFEND THER COMP CRIMIN,0306-624X,1552-6933,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,INT J OFFSHORE POLAR,INT J OFFSHORE POLAR ENG,1053-5381,1053-5381,ENGINEERING
INTERNATIONAL JOURNAL OF OIL GAS AND COAL TECHNOLOGY,INT J OIL GAS COAL T,INT J OIL GAS COAL TECHNOL,1753-3309,1753-3317,ENGINEERING
INTERNATIONAL JOURNAL OF OLDER PEOPLE NURSING,INT J OLDER PEOPLE N,INT J OLDER PEOPLE NURS,1748-3735,1748-3743,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF ONCOLOGY,INT J ONCOL,INT J ONCOL,1019-6439,1791-2423,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,INT J OPER PROD MAN,INT J OPER PROD MANAGE,0144-3577,1758-6593,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF OPHTHALMOLOGY,INT J OPHTHALMOL-CHI,INT J OPHTHALMOL,2222-3959,2227-4898,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF OPTICS,INT J OPT,INT J OPT,1687-9384,1687-9392,PHYSICS
INTERNATIONAL JOURNAL OF OPTOMECHATRONICS,INT J OPTOMECHATRONI,INT J OPTOMECHATRONICS,1559-9612,1559-9620,ENGINEERING
INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,INT J ORAL MAX IMPL,INT J ORAL MAXILLOFAC IMPLANT,0882-2786,1942-4434,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,INT J ORAL MAX SURG,INT J ORAL MAXILLOFAC SURG,0901-5027,1399-0020,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF ORAL IMPLANTOLOGY,INT J ORAL IMPL,INT J ORAL IMPL,2631-6420,2631-6439,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF ORAL SCIENCE,INT J ORAL SCI,INT J ORAL SCI,1674-2818,2049-3169,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,INT J OSTEOARCHAEOL,INT J OSTEOARCHAEOLOGY,1047-482X,1099-1212,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF OSTEOPATHIC MEDICINE,INT J OSTEOPATH MED,INT J OSTEOPATH MED,1746-0689,1878-0164,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PAEDIATRIC DENTISTRY,INT J PAEDIATR DENT,INT J PAEDIATR DENT,0960-7439,1365-263X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PALEOPATHOLOGY,INT J PALEOPATHOL,INT J PALEOPATHOL,1879-9817,1879-9825,BIOLOGY & BIOCHEMISTRY
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,INT J PARALLEL PROG,INT J PARALLEL PROGRAM,0885-7458,1573-7640,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN,INT J PATTERN RECOGNIT ARTI I,0218-0014,1793-6381,COMPUTER SCIENCE
INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING,INT J PAVEMENT ENG,INT J PAVEMENT ENG,1029-8436,1477-268X,ENGINEERING
INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,INT J PEDIATR OTORHI,INT J PED OTORHINOLARYNGOL,0165-5876,1872-8464,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY CASE REPORTS,INT J PEDIAT OTO CAS,INT J PEDIAT OTORHINOLARYNGOL,****-****,2588-9109,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PEPTIDE RESEARCH AND THERAPEUTICS,INT J PEPT RES THER,INT J PEPT RES THER,1573-3149,1573-3904,BIOLOGY & BIOCHEMISTRY
INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT,INT J PERF ANAL SPOR,INT J PERFORM ANAL SPORT,2474-8668,1474-8185,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY,INT J PERIODONT REST,INT J PERIODONTICS RESTOR DEN,0198-7569,1945-3388,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,INT J PEST MANAGE,INT J PEST MANAGE,0967-0874,1366-5863,PLANT & ANIMAL SCIENCE
INTERNATIONAL JOURNAL OF PHARMACEUTICS,INT J PHARMACEUT,INT J PHARM,0378-5173,1873-3476,PHARMACOLOGY & TOXICOLOGY
INTERNATIONAL JOURNAL OF PHARMACEUTICS-X,INT J PHARM-X,INT J PHARM-X,****-****,2590-1567,PHARMACOLOGY & TOXICOLOGY
INTERNATIONAL JOURNAL OF PHARMACOLOGY,INT J PHARMACOL,INT J PHARMACOL,1811-7775,1812-5700,PHARMACOLOGY & TOXICOLOGY
INTERNATIONAL JOURNAL OF PHOTOENERGY,INT J PHOTOENERGY,INT J PHOTOENERGY,1110-662X,1687-529X,PHYSICS
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,INT J PHYS DISTR LOG,INT J PHYS DISTRIB LOGIST MAN,0960-0035,1758-664X,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF PHYSICAL MODELLING IN GEOTECHNICS,INT J PHYS MODEL GEO,INT J PHYS MODEL GEOTECH,1346-213X,2042-6550,ENGINEERING
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,INT J PHYTOREMEDIAT,INT J PHYTOREMEDIAT,1522-6514,1549-7879,PLANT & ANIMAL SCIENCE
INTERNATIONAL JOURNAL OF PLANT PRODUCTION,INT J PLANT PROD,INT J PLANT PROD,1735-6814,1735-8043,PLANT & ANIMAL SCIENCE
INTERNATIONAL JOURNAL OF PLANT SCIENCES,INT J PLANT SCI,INT J PLANT SCI,1058-5893,1537-5315,PLANT & ANIMAL SCIENCE
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,INT J PLASTICITY,0749-6419,1879-2154,ENGINEERING
INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION,INT J POLYM ANAL CH,INT J POLYM ANAL CHARACT,1023-666X,1563-5341,CHEMISTRY
INTERNATIONAL JOURNAL OF POLYMER SCIENCE,INT J POLYM SCI,INT J POLYM SCI,1687-9422,1687-9430,CHEMISTRY
INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS,INT J POLYM MATER,INT J POLYM MATER,0091-4037,1563-535X,CHEMISTRY
INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,INT J POLYM MATER PO,INT J POLYM MATER POLYM BIOMA,0091-4037,1563-535X,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF POWDER METALLURGY,INT J POWDER METALL,INT J POWDER METALL,0888-7462,0888-7462,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING,INT J PRECIS ENG MAN,INT J PRECIS ENG MANUF,2234-7593,2005-4602,ENGINEERING
INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING-GREEN TECHNOLOGY,INT J PR ENG MAN-GT,INT J PRECIS ENG MANUF-GR TEC,2288-6206,2198-0810,ENGINEERING
INTERNATIONAL JOURNAL OF PRESS-POLITICS,INT J PRESS/POLIT,INT J PRESS-POLIT,1940-1612,1940-1620,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,INT J PRES VES PIP,INT J PRESSURE VESSELS PIPING,0308-0161,1879-3541,ENGINEERING
INTERNATIONAL JOURNAL OF PRIMATOLOGY,INT J PRIMATOL,INT J PRIMATOL,0164-0291,1573-8604,PLANT & ANIMAL SCIENCE
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,INT J PROD ECON,INT J PROD ECON,0925-5273,1873-7579,ENGINEERING
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,INT J PROD RES,INT J PROD RES,0020-7543,1366-588X,ENGINEERING
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,INT J PROJ MANAG,INT J PROJ MANAG,0263-7863,1873-4634,ECONOMICS & BUSINESS
INTERNATIONAL JOURNAL OF PROSTHODONTICS,INT J PROSTHODONT,INT J PROSTHODONT,0893-2174,1942-4426,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,INT J PSYCHIAT CLIN,INT J PSYCHIATR CLIN PRACT,1365-1501,1471-1788,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,INT J PSYCHIAT MED,INT J PSYCHIAT MED,0091-2174,1541-3527,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS,INT J PSYCHOANAL,INT J PSYCHOANAL,0020-7578,1745-8315,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOLOGICAL RESEARCH,INT J PSYCHOL RES,INT J PSYCHOL RES,2011-7922,2011-2084,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOLOGY,INT J PSYCHOL,INT J PSYCHOL,0020-7594,1464-066X,PSYCHIATRY/PSYCHOLOGY
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,INT J PSYCHOPHYSIOL,0167-8760,1872-7697,NEUROSCIENCE & BEHAVIOR
INTERNATIONAL JOURNAL OF PUBLIC HEALTH,INT J PUBLIC HEALTH,INT J PUBLIC HEALTH,1661-8556,1661-8564,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,INT J PUBLIC OPIN R,INT J PUBLIC OPIN RES,0954-2892,1471-6909,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,INT J QUAL METH,INT J QUAL METH,1609-4069,1609-4069,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES ON HEALTH AND WELL-BEING,INT J QUAL STUD HEAL,INT J QUAL STUD HEALTH WELL-B,1748-2623,1748-2631,"SOCIAL SCIENCES, GENERAL"
INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,INT J QUANTUM CHEM,INT J QUANTUM CHEM,0020-7608,1097-461X,CHEMISTRY
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,INT J QUANTUM INF,INT J QUANTUM INF,0219-7499,1793-6918,PHYSICS
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,INT J RADIAT BIOL,0955-3002,1362-3095,BIOLOGY & BIOCHEMISTRY
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,INT J RADIAT ONCOL,INT J RADIAT ONCOL BIOL PHYS,0360-3016,1879-355X,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF RADIATION RESEARCH,INT J RADIAT RES,INT J RADIAT RES,2322-3243,2322-3243,CLINICAL MEDICINE
INTERNATIONAL JOURNAL OF RAIL TRANSPORTATION,INT J RAIL TRANSP,INT J RAIL TRANSP,2324-8378,2324-8386,ENGINEERING
INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,INT J REFRACT MET H,INT J REFRACT MET HARD MATER,0263-4368,2213-3917,MATERIALS SCIENCE
INTERNATIONAL JOURNAL OF REFRIGERATION,INT J REFRIG,INT J REFRIG,0140-7007,1879-2081,ENGINEERING
INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,,,,,ENGINEERING
